"Question"
"Section Canadiens : Qui a porté le ''C'' du capitaine le plus longtemps dans l'histoire du tricolore?"
"Section Canadiens : Qui était le frère de Maurice?"
"Section séries : Quelle équipe a remporté le plus de Coupes Stanley?"
"Section séries : Depuis 2000, quelle équipe a remporté le plus de Coupe Stanley?"
"Section repêchage : Par quelle équipe a été repêché Jarome Iginla?"
"Section repêchage : Qui a été le premier choix au repêchage de l'année 2015?"
"Section expansion :  Quelle équipe s'intègrera à la Ligue nationale de hockey en juin 2017?"
"Quelles ont été les dernières équipes d'expansion à s'être installées au sein de la Ligue nationale de hockey?"
"Section Québécois : Qui a été le dernier marqueur de 50 buts québécois?"
"Section Québécois : Quel Québécois a marqué le plus de buts dans l'histoire du hockey?"
